[1;34m[src/utils/log.c:30 init_log] Log is written to /home/rookiemaster/ics2023/am-kernels/kernels/bad-apple/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:53 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:64 load_img] The image is /home/rookiemaster/ics2023/am-kernels/kernels/bad-apple/build/bad-apple-riscv32-nemu.bin, size = 20974320[0m
[1;34m[src/monitor/monitor.c:29 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:30 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:33 welcome] Build time: 16:48:03, Apr 21 2024[0m
[1;34m[src/monitor/monitor.c:36 welcome] Exercise: Please remove me in the source code and compile NEMU again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 01 40 91 17 auipc	sp, 5129
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 22 80 00 ef jal	ra, 0x80000234
0x80000234: ff 01 01 13 addi	sp, sp, -16
0x80000238: 00 00 05 17 auipc	a0, 0
0x8000023c: 2c 05 05 13 addi	a0, a0, 704
0x80000240: 00 11 26 23 sw	ra, 12(sp)
0x80000244: dc df f0 ef jal	ra, 0x80000010
0x80000010: fa 01 01 13 addi	sp, sp, -96
0x80000014: 04 11 2e 23 sw	ra, 92(sp)
0x80000018: 05 21 28 23 sw	s2, 80(sp)
0x8000001c: 03 71 2e 23 sw	s7, 60(sp)
0x80000020: 04 81 2c 23 sw	s0, 88(sp)
0x80000024: 04 91 2a 23 sw	s1, 84(sp)
0x80000028: 05 31 26 23 sw	s3, 76(sp)
0x8000002c: 05 41 24 23 sw	s4, 72(sp)
0x80000030: 05 51 22 23 sw	s5, 68(sp)
0x80000034: 05 61 20 23 sw	s6, 64(sp)
0x80000038: 03 81 2c 23 sw	s8, 56(sp)
0x8000003c: 03 91 2a 23 sw	s9, 52(sp)
0x80000040: 03 a1 28 23 sw	s10, 48(sp)
0x80000044: 03 b1 26 23 sw	s11, 44(sp)
0x80000048: 2a 00 00 ef jal	ra, 0x800002e8
0x800002e8: ff 01 01 13 addi	sp, sp, -16
0x800002ec: 00 11 26 23 sw	ra, 12(sp)
0x800002f0: 01 40 07 97 auipc	a5, 5120
0x800002f4: 60 07 87 93 addi	a5, a5, 1536
0x800002f8: 01 40 06 97 auipc	a3, 5120
0x800002fc: 7f 86 86 93 addi	a3, a3, 2040
0x80000300: 00 00 06 17 auipc	a2, 0
0x80000304: f8 06 06 13 addi	a2, a2, -128
0x80000308: 00 c0 00 6f jal	zero, 0x80000314
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000031c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000320: 00 47 87 93 addi	a5, a5, 4
0x80000324: fe d7 98 e3 bne	a5, a3, 0x80000314
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000031c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000320: 00 47 87 93 addi	a5, a5, 4
0x80000324: fe d7 98 e3 bne	a5, a3, 0x80000314
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000031c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000320: 00 47 87 93 addi	a5, a5, 4
0x80000324: fe d7 98 e3 bne	a5, a3, 0x80000314
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000030c: 00 47 87 93 addi	a5, a5, 4
0x80000310: 00 d7 8c 63 beq	a5, a3, 0x80000328
0x80000314: 00 07 a7 03 lw	a4, 0(a5)
0x80000318: fe 07 1a e3 bne	a4, zero, 0x8000030c
0x8000031c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000320: 00 47 87 93 addi	a5, a5, 4
0x80000324: fe d7 98 e3 bne	a5, a3, 0x80000314
