[1;34m[src/utils/log.c:30 init_log] Log is written to /home/rookiemaster/ics2023/am-kernels/kernels/slider/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:53 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:64 load_img] The image is /home/rookiemaster/ics2023/am-kernels/kernels/slider/build/slider-riscv32-nemu.bin, size = 962592[0m
[1;34m[src/monitor/monitor.c:29 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:30 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:33 welcome] Build time: 16:48:03, Apr 21 2024[0m
[1;34m[src/monitor/monitor.c:36 welcome] Exercise: Please remove me in the source code and compile NEMU again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 0f 41 17 auipc	sp, 244
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 33 80 00 ef jal	ra, 0x80000344
0x80000344: ff 01 01 13 addi	sp, sp, -16
0x80000348: 00 00 05 17 auipc	a0, 0
0x8000034c: 4c c5 05 13 addi	a0, a0, 1228
0x80000350: 00 11 26 23 sw	ra, 12(sp)
0x80000354: d1 9f f0 ef jal	ra, 0x8000006c
0x8000006c: fb 01 01 13 addi	sp, sp, -80
0x80000070: 04 11 26 23 sw	ra, 76(sp)
0x80000074: 04 81 24 23 sw	s0, 72(sp)
0x80000078: 04 91 22 23 sw	s1, 68(sp)
0x8000007c: 05 21 20 23 sw	s2, 64(sp)
0x80000080: 03 31 2e 23 sw	s3, 60(sp)
0x80000084: 03 41 2c 23 sw	s4, 56(sp)
0x80000088: 03 51 2a 23 sw	s5, 52(sp)
0x8000008c: 03 61 28 23 sw	s6, 48(sp)
0x80000090: 03 71 26 23 sw	s7, 44(sp)
0x80000094: 03 81 24 23 sw	s8, 40(sp)
0x80000098: 15 00 00 ef jal	ra, 0x800001e8
0x800001e8: ff 01 01 13 addi	sp, sp, -16
0x800001ec: 00 11 26 23 sw	ra, 12(sp)
0x800001f0: 00 0e b7 97 auipc	a5, 235
0x800001f4: c3 07 87 93 addi	a5, a5, -976
0x800001f8: 00 0e b6 97 auipc	a3, 235
0x800001fc: e2 86 86 93 addi	a3, a3, -472
0x80000200: 00 00 06 17 auipc	a2, 0
0x80000204: f8 06 06 13 addi	a2, a2, -128
0x80000208: 00 c0 00 6f jal	zero, 0x80000214
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000021c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000220: 00 47 87 93 addi	a5, a5, 4
0x80000224: fe d7 98 e3 bne	a5, a3, 0x80000214
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000021c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000220: 00 47 87 93 addi	a5, a5, 4
0x80000224: fe d7 98 e3 bne	a5, a3, 0x80000214
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000021c: 00 c7 a0 23 sw	a2, 0(a5)
0x80000220: 00 47 87 93 addi	a5, a5, 4
0x80000224: fe d7 98 e3 bne	a5, a3, 0x80000214
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
0x80000210: 00 d7 8c 63 beq	a5, a3, 0x80000228
0x80000214: 00 07 a7 03 lw	a4, 0(a5)
0x80000218: fe 07 1a e3 bne	a4, zero, 0x8000020c
0x8000020c: 00 47 87 93 addi	a5, a5, 4
